premium,premium_monthly,premium_quaterly,premium_half_yearly,SA,Plan,Company,claim_ratio,plan_description,plan_features_1,plan_features_2,plan_features_3,age,Term,Type Of Policy,combined
23035,2027,6012.0,11817,10000000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 10,000,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,46,15,Term Life Insurance,Premium:23035 premium_monthly:2027 premium_quaterly:6012.0 premium_quaterly:11817 Sum Assured:10000000 age:46 Term:15 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
18088,1567,4656.0,9132,10000000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,46,15,Term Life Insurance,Premium:18088 premium_monthly:1567 premium_quaterly:4656.0 premium_quaterly:9132 Sum Assured:10000000 age:46 Term:15 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
25134,2220,6535.0,12818,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,46,15,Term Life Insurance,Premium:25134 premium_monthly:2220 premium_quaterly:6535.0 premium_quaterly:12818 Sum Assured:10000000 age:46 Term:15 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
22681,1937,,11482,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,46,15,Term Life Insurance,Premium:22681 premium_monthly:1937 premium_quaterly:nan premium_quaterly:11482 Sum Assured:10000000 age:46 Term:15 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
24161,2115,6282.0,12322,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,46,15,Term Life Insurance,Premium:24161 premium_monthly:2115 premium_quaterly:6282.0 premium_quaterly:12322 Sum Assured:10000000 age:46 Term:15 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
18865,1660,4924.0,9678,7500000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 7,500,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,44,10,Term Life Insurance,Premium:18865 premium_monthly:1660 premium_quaterly:4924.0 premium_quaterly:9678 Sum Assured:7500000 age:44 Term:10 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
16169,1401,4162.0,8164,7500000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,44,10,Term Life Insurance,Premium:16169 premium_monthly:1401 premium_quaterly:4162.0 premium_quaterly:8164 Sum Assured:7500000 age:44 Term:10 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
21830,1928,5676.0,11133,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,44,10,Term Life Insurance,Premium:21830 premium_monthly:1928 premium_quaterly:5676.0 premium_quaterly:11133 Sum Assured:7500000 age:44 Term:10 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
17583,1501,,8901,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,44,10,Term Life Insurance,Premium:17583 premium_monthly:1501 premium_quaterly:nan premium_quaterly:8901 Sum Assured:7500000 age:44 Term:10 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
17499,1532,4550.0,8924,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,44,10,Term Life Insurance,Premium:17499 premium_monthly:1532 premium_quaterly:4550.0 premium_quaterly:8924 Sum Assured:7500000 age:44 Term:10 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
22862,2012,5967.0,11728,10000000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 10,000,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,44,10,Term Life Insurance,Premium:22862 premium_monthly:2012 premium_quaterly:5967.0 premium_quaterly:11728 Sum Assured:10000000 age:44 Term:10 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
24898,2198,6473.0,12698,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,44,10,Term Life Insurance,Premium:24898 premium_monthly:2198 premium_quaterly:6473.0 premium_quaterly:12698 Sum Assured:10000000 age:44 Term:10 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
20649,1763,,10453,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,44,10,Term Life Insurance,Premium:20649 premium_monthly:1763 premium_quaterly:nan premium_quaterly:10453 Sum Assured:10000000 age:44 Term:10 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
21641,1894,5626.0,11037,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,44,10,Term Life Insurance,Premium:21641 premium_monthly:1894 premium_quaterly:5626.0 premium_quaterly:11037 Sum Assured:10000000 age:44 Term:10 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
19630,1727,5123.0,10070,7500000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 7,500,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,45,13,Term Life Insurance,Premium:19630 premium_monthly:1727 premium_quaterly:5123.0 premium_quaterly:10070 Sum Assured:7500000 age:45 Term:13 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
17593,1524,4529.0,8883,7500000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,45,13,Term Life Insurance,Premium:17593 premium_monthly:1524 premium_quaterly:4529.0 premium_quaterly:8883 Sum Assured:7500000 age:45 Term:13 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
21978,1941,5715.0,11209,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,45,13,Term Life Insurance,Premium:21978 premium_monthly:1941 premium_quaterly:5715.0 premium_quaterly:11209 Sum Assured:7500000 age:45 Term:13 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
18586,1587,,9409,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,45,13,Term Life Insurance,Premium:18586 premium_monthly:1587 premium_quaterly:nan premium_quaterly:9409 Sum Assured:7500000 age:45 Term:13 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
18666,1633,4853.0,9520,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,45,13,Term Life Insurance,Premium:18666 premium_monthly:1633 premium_quaterly:4853.0 premium_quaterly:9520 Sum Assured:7500000 age:45 Term:13 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
18585,1641,4832.0,9479,5000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,44,7,Term Life Insurance,Premium:18585 premium_monthly:1641 premium_quaterly:4832.0 premium_quaterly:9479 Sum Assured:5000000 age:44 Term:7 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
12408,1059,,6281,5000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 5,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,44,7,Term Life Insurance,Premium:12408 premium_monthly:1059 premium_quaterly:nan premium_quaterly:6281 Sum Assured:5000000 age:44 Term:7 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
12082,1057,3141.0,6162,5000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 5,000,000  on death ",NIL,Complete online process,44,7,Term Life Insurance,Premium:12082 premium_monthly:1057 premium_quaterly:3141.0 premium_quaterly:6162 Sum Assured:5000000 age:44 Term:7 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
23035,2027,6012.0,11817,10000000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 10,000,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,45,15,Term Life Insurance,Premium:23035 premium_monthly:2027 premium_quaterly:6012.0 premium_quaterly:11817 Sum Assured:10000000 age:45 Term:15 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
18088,1567,4656.0,9132,10000000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,45,15,Term Life Insurance,Premium:18088 premium_monthly:1567 premium_quaterly:4656.0 premium_quaterly:9132 Sum Assured:10000000 age:45 Term:15 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
25134,2220,6535.0,12818,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,45,15,Term Life Insurance,Premium:25134 premium_monthly:2220 premium_quaterly:6535.0 premium_quaterly:12818 Sum Assured:10000000 age:45 Term:15 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
22681,1937,,11482,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,45,15,Term Life Insurance,Premium:22681 premium_monthly:1937 premium_quaterly:nan premium_quaterly:11482 Sum Assured:10000000 age:45 Term:15 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
24161,2115,6282.0,12322,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,45,15,Term Life Insurance,Premium:24161 premium_monthly:2115 premium_quaterly:6282.0 premium_quaterly:12322 Sum Assured:10000000 age:45 Term:15 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
23035,2027,6012.0,11817,10000000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 10,000,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,44,15,Term Life Insurance,Premium:23035 premium_monthly:2027 premium_quaterly:6012.0 premium_quaterly:11817 Sum Assured:10000000 age:44 Term:15 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
18088,1567,4656.0,9132,10000000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,44,15,Term Life Insurance,Premium:18088 premium_monthly:1567 premium_quaterly:4656.0 premium_quaterly:9132 Sum Assured:10000000 age:44 Term:15 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
25134,2220,6535.0,12818,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,44,15,Term Life Insurance,Premium:25134 premium_monthly:2220 premium_quaterly:6535.0 premium_quaterly:12818 Sum Assured:10000000 age:44 Term:15 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
22681,1937,,11482,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,44,15,Term Life Insurance,Premium:22681 premium_monthly:1937 premium_quaterly:nan premium_quaterly:11482 Sum Assured:10000000 age:44 Term:15 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
24161,2115,6282.0,12322,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,44,15,Term Life Insurance,Premium:24161 premium_monthly:2115 premium_quaterly:6282.0 premium_quaterly:12322 Sum Assured:10000000 age:44 Term:15 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
21594,1907,5614.0,11013,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,46,6,Term Life Insurance,Premium:21594 premium_monthly:1907 premium_quaterly:5614.0 premium_quaterly:11013 Sum Assured:7500000 age:46 Term:6 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
17526,1496,,8873,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,46,6,Term Life Insurance,Premium:17526 premium_monthly:1496 premium_quaterly:nan premium_quaterly:8873 Sum Assured:7500000 age:46 Term:6 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
17445,1527,4536.0,8897,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,46,6,Term Life Insurance,Premium:17445 premium_monthly:1527 premium_quaterly:4536.0 premium_quaterly:8897 Sum Assured:7500000 age:46 Term:6 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
21506,1899,5592.0,10968,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,45,5,Term Life Insurance,Premium:21506 premium_monthly:1899 premium_quaterly:5592.0 premium_quaterly:10968 Sum Assured:7500000 age:45 Term:5 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
18320,1564,,9275,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,45,5,Term Life Insurance,Premium:18320 premium_monthly:1564 premium_quaterly:nan premium_quaterly:9275 Sum Assured:7500000 age:45 Term:5 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
18235,1595,4741.0,9300,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,45,5,Term Life Insurance,Premium:18235 premium_monthly:1595 premium_quaterly:4741.0 premium_quaterly:9300 Sum Assured:7500000 age:45 Term:5 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
21594,1907,5614.0,11013,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,44,6,Term Life Insurance,Premium:21594 premium_monthly:1907 premium_quaterly:5614.0 premium_quaterly:11013 Sum Assured:7500000 age:44 Term:6 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
17526,1496,,8873,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,44,6,Term Life Insurance,Premium:17526 premium_monthly:1496 premium_quaterly:nan premium_quaterly:8873 Sum Assured:7500000 age:44 Term:6 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
17445,1527,4536.0,8897,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,44,6,Term Life Insurance,Premium:17445 premium_monthly:1527 premium_quaterly:4536.0 premium_quaterly:8897 Sum Assured:7500000 age:44 Term:6 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
23035,2027,6012.0,11817,10000000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 10,000,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,46,14,Term Life Insurance,Premium:23035 premium_monthly:2027 premium_quaterly:6012.0 premium_quaterly:11817 Sum Assured:10000000 age:46 Term:14 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
18445,1598,4748.0,9313,10000000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,46,14,Term Life Insurance,Premium:18445 premium_monthly:1598 premium_quaterly:4748.0 premium_quaterly:9313 Sum Assured:10000000 age:46 Term:14 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
25134,2220,6535.0,12818,10000000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,46,14,Term Life Insurance,Premium:25134 premium_monthly:2220 premium_quaterly:6535.0 premium_quaterly:12818 Sum Assured:10000000 age:46 Term:14 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
22230,1898,,11254,10000000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 10,000,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,46,14,Term Life Insurance,Premium:22230 premium_monthly:1898 premium_quaterly:nan premium_quaterly:11254 Sum Assured:10000000 age:46 Term:14 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
23601,2065,6136.0,12037,10000000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 10,000,000  on death ",NIL,Complete online process,46,14,Term Life Insurance,Premium:23601 premium_monthly:2065 premium_quaterly:6136.0 premium_quaterly:12037 Sum Assured:10000000 age:46 Term:14 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
18865,1660,4924.0,9678,7500000,Smart Secure Plus - Life Cover,Max Life Insurance Company Limited,99.65,"Max Life Smart Secure Plus plan offers customers multiple death benefit options at affordable premiums alongwith other features such as premium break, special exit value, voluntary sum assured top up and add on riders thus providing a comprehensive protection solution to customers.","Rs. 7,500,000  on death",Inbuilt terminal illness,Special Exit Benefit & Voluntary Top Up,47,10,Term Life Insurance,Premium:18865 premium_monthly:1660 premium_quaterly:4924.0 premium_quaterly:9678 Sum Assured:7500000 age:47 Term:10 Type Of Policy:Term Life Insurance Company:Max Life Insurance Company Limited
16169,1401,4162.0,8164,7500000,E Touch Life Shield,Bajaj Allianz Life Insurance Company Limited,99.23,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,47,10,Term Life Insurance,Premium:16169 premium_monthly:1401 premium_quaterly:4162.0 premium_quaterly:8164 Sum Assured:7500000 age:47 Term:10 Type Of Policy:Term Life Insurance Company:Bajaj Allianz Life Insurance Company Limited
21830,1928,5676.0,11133,7500000,Sampoorna Raksha Supreme,TATA AIA Life Insurance Company Limited,99.13,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,47,10,Term Life Insurance,Premium:21830 premium_monthly:1928 premium_quaterly:5676.0 premium_quaterly:11133 Sum Assured:7500000 age:47 Term:10 Type Of Policy:Term Life Insurance Company:TATA AIA Life Insurance Company Limited
17583,1501,,8901,7500000,iProtect Smart Lumpsum Plan,ICICI Prudential Life Insurance Company Limited,99.17,iProtect Smart Lumpsum Plan is a comprehensive protection plan that provides complete protection - Life Cover as well as multiple add on riders,"Rs. 7,500,000  on death",Inbuilt terminal illness,Inbuilt Waiver of Premium on disability,47,10,Term Life Insurance,Premium:17583 premium_monthly:1501 premium_quaterly:nan premium_quaterly:8901 Sum Assured:7500000 age:47 Term:10 Type Of Policy:Term Life Insurance Company:ICICI Prudential Life Insurance Company Limited
17499,1532,4550.0,8924,7500000,Click 2 Protect Super,HDFC Life Insurance Company Limited,99.5,This plan helps you ensure that happiness and protect their future goals and financial security with Aegon Life iTerm Prime - a term insurance plan that helps you secure your family’s tomorrow and lets you live tension-free today.,"One Time: Rs. 7,500,000  on death ",NIL,Complete online process,47,10,Term Life Insurance,Premium:17499 premium_monthly:1532 premium_quaterly:4550.0 premium_quaterly:8924 Sum Assured:7500000 age:47 Term:10 Type Of Policy:Term Life Insurance Company:HDFC Life Insurance Company Limited
